"","Months","Total_death"
"484","Jul","62"
"485","Jul","31"
"486","Aug","29"
"487","Aug","37"
"488","Aug","30"
"489","Aug","32"
"490","Aug","28"
"491","Aug","15"
"492","Aug","18"
"493","Aug","11"
"494","Aug","28"
"495","Aug","25"
"496","Aug","17"
"497","Aug","10"
"498","Aug","12"
"499","Aug","10"
"500","Aug","11"
"501","Aug","4"
"502","Aug","6"
"503","Aug","12"
"504","Aug","4"
"505","Aug","7"
"506","Aug","11"
"507","Aug","5"
"508","Aug","6"
"509","Aug","7"
"510","Aug","7"
"511","Aug","3"
"512","Aug","8"
"513","Aug","2"
"514","Aug","6"
"515","Aug","7"
"516","Aug","2"
"517","Sep","5"
"518","Sep","4"
"519","Sep","0"
"520","Sep","1"
"521","Sep","4"
"522","Sep","9"
"523","Sep","3"
"524","Sep","7"
"525","Sep","6"
"526","Sep","7"
"527","Sep","3"
"528","Sep","0"
"529","Sep","2"
"530","Sep","2"
"531","Sep","3"
"532","Sep","9"
"533","Sep","3"
"534","Sep","9"
"535","Sep","4"
"536","Sep","0"
"537","Sep","0"
"538","Sep","0"
"539","Sep","0"
"540","Sep","0"
"541","Sep","0"
"542","Sep","0"
"543","Sep","1"
"544","Sep","1"
"545","Sep","3"
"546","Sep","0"
"547","Oct","2"
"548","Oct","3"
"549","Oct","3"
"550","Oct","0"
"551","Oct","2"
"552","Oct","2"
"553","Oct","4"
"554","Oct","1"
"555","Oct","0"
"556","Oct","0"
"557","Oct","5"
"558","Oct","2"
"559","Oct","2"
"560","Oct","4"
"561","Oct","4"
"562","Oct","0"
"563","Oct","0"
"564","Oct","5"
"565","Oct","3"
"566","Oct","1"
"567","Oct","0"
"568","Oct","2"
"569","Oct","3"
"570","Oct","1"
"571","Oct","4"
"572","Oct","3"
"573","Oct","2"
"574","Oct","4"
"575","Oct","2"
"576","Oct","1"
"577","Oct","3"
"578","Nov","8"
"579","Nov","1"
"580","Nov","0"
"581","Nov","3"
"582","Nov","0"
"583","Nov","0"
"584","Nov","0"
"585","Nov","3"
"586","Nov","1"
"587","Nov","3"
"588","Nov","1"
"589","Nov","0"
"590","Nov","0"
"591","Nov","1"
"592","Nov","1"
"593","Nov","1"
"594","Nov","2"
"595","Nov","2"
"596","Nov","0"
"597","Nov","2"
"598","Nov","2"
"599","Nov","0"
"600","Nov","2"
"601","Nov","1"
"602","Nov","1"
"603","Nov","0"
"604","Nov","1"
"605","Nov","0"
"606","Nov","0"
"607","Dec","0"
"608","Dec","1"
"609","Dec","1"
"610","Dec","0"
"611","Dec","2"
"612","Dec","0"
"613","Dec","4"
"614","Dec","1"
"615","Dec","2"
"616","Dec","2"
"617","Dec","3"
"618","Dec","1"
"619","Dec","3"
"620","Dec","0"
"621","Dec","1"
"622","Dec","2"
"623","Dec","1"
"624","Dec","0"
"625","Dec","1"
"626","Dec","2"
"627","Dec","0"
"628","Dec","0"
"629","Dec","6"
"630","Dec","5"
"631","Dec","2"
"632","Dec","4"
"633","Dec","2"
"634","Dec","0"
"635","Dec","1"
"636","Dec","1"
"637","Dec","0"
"638","Jan","0"
"639","Jan","5"
"640","Jan","3"
"641","Jan","2"
"642","Jan","1"
"643","Jan","1"
"644","Jan","0"
"645","Jan","1"
"646","Jan","4"
"647","Jan","0"
"648","Jan","1"
"649","Jan","2"
"650","Jan","0"
"651","Jan","0"
"652","Jan","2"
"653","Jan","1"
"654","Jan","2"
"655","Jan","2"
"656","Jan","3"
"657","Jan","0"
"658","Jan","0"
"659","Jan","4"
"660","Jan","3"
"661","Jan","0"
"662","Jan","4"
"663","Jan","4"
"664","Jan","2"
"665","Jan","0"
"666","Jan","4"
"667","Jan","2"
"668","Feb","5"
"669","Feb","3"
"670","Feb","1"
"671","Feb","2"
"672","Feb","0"
"673","Feb","5"
"674","Feb","7"
"675","Feb","10"
"676","Feb","12"
"677","Feb","11"
"678","Feb","12"
"679","Feb","5"
"680","Feb","6"
"681","Feb","6"
"682","Feb","7"
"683","Feb","3"
"684","Feb","9"
"685","Feb","11"
"686","Feb","5"
"687","Feb","5"
"688","Feb","7"
"689","Feb","8"
"690","Feb","25"
"691","Feb","1"
"692","Feb","3"
"693","Feb","3"
"694","Feb","7"
"695","Feb","5"
"696","Mar","5"
"697","Mar","11"
"698","Mar","8"
"699","Mar","2"
"700","Mar","1"
"701","Mar","2"
"702","Mar","1"
"703","Mar","3"
"704","Mar","4"
"705","Mar","6"
"706","Mar","3"
"707","Mar","1"
"708","Mar","2"
"709","Mar","1"
"710","Mar","2"
"711","Mar","1"
"712","Mar","5"
"713","Mar","0"
"714","Mar","1"
"715","Mar","2"
"716","Mar","0"
"717","Mar","2"
"718","Mar","1"
"719","Mar","1"
"720","Mar","0"
"721","Mar","2"
"722","Mar","2"
"723","Mar","1"
"724","Mar","2"
"725","Mar","0"
"726","Apr","5"
"727","Apr","1"
"728","Apr","0"
"729","Apr","0"
"730","Apr","0"
"731","Apr","0"
"732","Apr","0"
"733","Apr","2"
"734","Apr","0"
"735","Apr","2"
"736","Apr","0"
